EURUSD,Up,Up
EURJPY,Down,Up
USDJPY,Down,Down
GBPUSD,Up,Down
GBPJPY,Up,Down
AUDUSD,Up,Up
AUDJPY,Up,Up
EURGBP,Down,Up
EURAUD,err,err
GBPAUD,err,err
