2017_3_17
CurrencyPair,5SMA,25SMA
EURUSD,è„è∏,è„è∏
EURJPY,â∫óé,è„è∏
USDJPY,â∫óé,â∫óé
GBPUSD,è„è∏,â∫óé
GBPJPY,è„è∏,â∫óé
AUDUSD,è„è∏,è„è∏
AUDJPY,è„è∏,è„è∏
EURGBP,â∫óé,è„è∏
EURAUD,err,err
GBPAUD,err,err
